,name,primary_role,roles,gender,year_born,first_credit,year_first_credit,num_credits
76,Lauren Lapkus,actress,"['actress', 'music department', 'writer']",female,1985,Movie Boy,2005,113
77,Taissa Farmiga,actress,"['actress', 'producer', 'soundtrack']",female,1994,Higher Ground,2011,27
78,Salma Hayek,actress,"['actress', 'producer', 'director']",female,1966,Un nuevo amanecer,1988,88
79,Johnny Depp,actor,"['actor', 'producer', 'director']",male,1963,A Nightmare on Elm Street,1984,99
80,Jodie Comer,actress,"['actress', 'producer', 'additional crew']",female,1993,The Royal Today,2008,35
81,Zoe Saldana,actress,"['actress', 'producer', 'writer']",female,1978,Law & Order,1999,76
82,Molly Gordon,actress,"['actress', 'writer', 'director']",female,1994,I Am Sam,2001,23
83,Timothy Olyphant,actor,"['actor', 'producer', 'soundtrack']",male,1968,77 Sunset Strip,1995,76
84,Evan Rachel Wood,actress,"['actress', 'director', 'writer']",female,1987,"In the Best of Families: Marriage, Pride & Madness",1994,66
85,Ayo Edebiri,actress,"['actress', 'producer', 'writer']",female,1995,Defectives,2014,29
86,Leonardo DiCaprio,actor,"['producer', 'actor', 'writer']",male,1974,Romper Room,1979,47
87,Emily Blunt,actress,"['actress', 'producer', 'additional crew']",female,1983,Warrior Queen,2003,52
88,Kenneth Branagh,actor,"['actor', 'producer', 'director']",male,1960,Chariots of Fire,1981,76
89,Sunny Sandler,actress,['actress'],female,2008,Grown Ups,2010,22
90,Nicolas Cage,actor,"['actor', 'producer', 'director']",male,1964,The Best of Times,1981,116
91,Ana de Armas,actress,"['actress', 'producer']",female,1988,Una rosa de Francia,2006,34
92,Pom Klementieff,actress,"['actress', 'writer']",female,1986,Des mots,2006,46
93,Teresa Palmer,actress,"['actress', 'producer', 'writer']",female,1986,Orientation,2004,38
94,Tom Hanks,actor,"['producer', 'actor', 'writer']",male,1956,He Knows You're Alone,1980,96
95,Whitney Cummings,writer,"['writer', 'actress', 'producer']",female,1982,Last Call with Carson Daly,2007,19
96,Michael Keaton,actor,"['actor', 'additional crew', 'producer']",male,1951,Mister Rogers' Neighborhood,1974,94
97,Gal Gadot,actress,"['actress', 'producer', 'soundtrack']",female,1985,Shemesh,1999,38
98,Harrison Ford,actor,"['actor', 'writer', 'producer']",male,1942,Dead Heat on a Merry-Go-Round,1966,87
99,Brad Pitt,actor,"['producer', 'actor', 'executive']",male,1963,Hunk,1987,87
